"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20230402006579A","02-APR-23","CHELSEA","AL","","","","","","","","AIR METHODS CORP","","","","","2","0","","","","","","8950","","",""
"20230402014239A","02-APR-23","CANTON","GA","CHEROKEE COUNTY","","","","","","","","","","","","0","0","","","","","","73","73","40",""
"20230403003919A","03-APR-23","WHITE PLAINS","NY","WESTCHESTER COUNTY","","","","","","","","","","","","0","0","","","","","","4797","2356","8",""
"20230403004379A","03-APR-23","LEXINGTON","KY","BLUE GRASS","","","","","","","","","","","","0","0","","","","","","","","",""
"20230403022109I","03-APR-23","WEST PALM BEACH","FL","PALM BEACH INTL","","","","","","","","","","","","0","0","","","","","","8068","","",""
"20230404002369I","04-APR-23","OWLS HEAD","ME","KNOX COUNTY RGNL","","","","","","","WIGGINS AIRWAYS","","","","","0","0","","","","","","3022","43","40",""
"20230404002959I","04-APR-23","LAKE CITY","FL","CANNON CREEK AIRPARK","","","","","","","","","","","","0","0","","","","","","","","",""
"20230404003039I","04-APR-23","MANASSAS","VA","MANASSAS RGNL/HARRY P. DAVIS FIELD","","","","","","","","","","","","0","0","","","","","","1114","572","14",""
"20230404003929A","04-APR-23","WASILLA","AK","FOUR CORNERS","","","","","","","","","","","","0","0","","","","","","3518","2000","",""
"20230404004859I","04-APR-23","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","","","","","","","","","PARACHUTE JUMPING","","","1","0","","","","","","","","",""
"20230405003939A","05-APR-23","BREMERTON","WA","BREMERTON NATIONAL","","","","","","","","","","","","0","0","","","","","","1439","","",""
"20230405004459A","05-APR-23","LEESBURG","VA","LEESBURG EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230405006069A","05-APR-23","VENICE","FL","VENICE MUNI","","","","","","","","","","","","4","0","","","","","","","","",""
"20230405012079A","05-APR-23","LOS ALAMOS","NM","LOS ALAMOS","","","","","","","","","","","","0","0","","","","","","17600","8","136",""
"20230405013209A","05-APR-23","HERLONG","CA","","","","","","","","","","","","","0","0","","","","","","580","515","38",""
"20230405017129I","05-APR-23","PAHOKEE","FL","PALM BEACH CO GLADES","","","","","","","NAPLES AIR CENTER","","PILOT SCHOOLS","","","0","0","","","","","","81","81","81",""
"20230405021499I","05-APR-23","FORT SMITH","AR","FORT SMITH RGNL","","","","","","","MESA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","6","","","","","","","","",""
"20230406003149I","06-APR-23","SAINT ANTHONY","ID","STANFORD FIELD","","","","","","","","","","","","0","0","","","","","","142","59","37",""
"20230406003949A","06-APR-23","FOLEY","AL","COLLIER AIRPARK","","","","","","","","","","","","0","0","","","","","","8000","","",""
"20230406004619I","06-APR-23","MELBOURNE","FL","MELBOURNE INTL","","","","","","","","","","","","0","0","","","","","","18500","","",""
"20230406005239I","06-APR-23","FORT WORTH","TX","FORT WORTH ALLIANCE","","","","","","","","","","","","0","0","","","","","","3445","39","12",""
"20230406013859A","06-APR-23","JESUP","GA","JESUP-WAYNE COUNTY","","","","","","","","","","","","1","0","","","","","","838","838","65",""
"20230406015849I","06-APR-23","CHESTERFIELD","VA","CHESTERFIELD COUNTY","","","","","","","","","","","","0","0","","","","","","298","160","10",""
"20230407003669A","07-APR-23","SEBASTIAN","FL","SEBASTIAN MUNI","","","","","","","","","","","","1","0","","","","","","608","","14",""
"20230407004339A","07-APR-23","GARDNER","KS","GARDNER MUNI","","","","","","","","","","","","0","0","","","","","","643","","",""
"20230407006199A","07-APR-23","ASHLAND","OR","ASHLAND MUNI-SUMNER PARKER FIELD","","","","","","","","","","","","0","0","","","","","","2654","1323","24",""
"20230407006539A","07-APR-23","CEDAR KEY","FL","GEORGE T LEWIS","","","","","","","","","","","","0","1","","","","","","502","188","16",""
"20230407007289I","07-APR-23","PORTAGE DES SIOUX","MO","ST CHARLES COUNTY SMARTT","","","","","","","","","","","","0","0","","","","","","19","17","19",""
"20230407009479I","07-APR-23","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","","","","","","","","","","","","0","3","","","","","","","","",""
"20230408003029I","08-APR-23","ORLANDO","FL","EXECUTIVE","","","","","","","","","","","","0","0","","","","","","850","","",""
"20230408003139I","08-APR-23","PUEBLO","CO","PUEBLO MEMORIAL","","","","","","","","","","","","0","0","","","","","","1157","","",""
"20230408003619A","08-APR-23","GOLDSBY","OK","DAVID JAY PERRY","","","","","","","","","","","","0","1","","","","","","540","","",""
"20230408003959A","08-APR-23","MORGAN","UT","","","","","","","","","","","","","0","0","","","","","","20000","","",""
"20230408003969A","08-APR-23","SOMERSET","KY","LAKE CUMBERLAND RGNL","","","","","","","","","","","","0","0","","","","","","51","22","20",""
"20230408004629A","08-APR-23","VERO BEACH","FL","NEW HIBISCUS AIRPARK","","","","","","","","","","","","0","0","","","","","","68","","",""
"20230408004709A","08-APR-23","MESA","AZ","FALCON FLD","","","","","","","","","","","","0","0","","","","","","32","32","18",""
"20230408009719I","08-APR-23","BIG BEAR","CA","BIG BEAR CITY","","","","","","","","","","","","0","0","","","","","","","","",""
"20230408015279A","08-APR-23","MIDWAY","UT","","","","","","","","UTAH STATE UNIVERSITY","","PILOT SCHOOLS","","","0","0","","","","","","554","421","60",""
"20230408018319I","08-APR-23","SANTA FE","NM","SANTA FE MUNI","","","","","","","","","","","","0","0","","","","","","500","","",""
"20230409002969A","09-APR-23","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","","","","","","","","","","","","0","0","","","","","","19269","14850","104",""
"20230409004549I","09-APR-23","TOWNSEND","MT","TOWNSEND","","","","","","","","","","","","0","0","","","","","","","10600","5",""
"20230409007909I","09-APR-23","TROY","MI","OAKLAND/TROY","","","","","","","","","","","","0","0","","","","","","3924","","",""
"20230409008059A","09-APR-23","","IL","ST LOUIS DOWNTOWN","","","","","","","","","PILOT SCHOOLS","","","0","1","","","","","","545","","",""
"20230409020909I","09-APR-23","POUGHKEEPSIE","NY","DUTCHESS COUNTY","","","","","","","","","","","","0","0","","","","","","179","179","1",""
"20230410002759I","10-APR-23","CLEWISTON","FL","PALM BEACH INTL","","","","","","","","","","","","0","0","","","","","","2200","","",""
"20230410003979A","10-APR-23","DANBURY","CT","DANBURY MUNI","","","","","","","","","","","","0","2","","","","","","212","20","20",""
"20230410006379A","10-APR-23","WEST MIFFLIN","PA","ALLEGHENY COUNTY","","","","","","","","","","","","0","1","","","","","","53","53","42",""
"20230411003129I","11-APR-23","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","","","","","","","","","","","","0","0","","","","","","99","99","40",""
"20230411003549A","11-APR-23","NEW WAVERLY","TX","","","","","","","","","","","","","0","1","","","","","","1384","","",""
"20230411003989I","11-APR-23","SAN MARCOS","TX","SAN MARCOS MUNI","","","","","","","","","","","","0","0","","","","","","617","","",""
"20230411003999A","11-APR-23","CLIMAX","NC","","","","","","","","","","","","","1","0","","","","","","","","",""
"20230411004009A","11-APR-23","SKIATOOK","OK","SKIATOOK MUNI","","","","","","","","","","","","0","0","","","","","","130","5","11",""
"20230411004769A","11-APR-23","","NV","KIDWELL","","","","","","","","","","","","2","0","","","","","","526","","",""
"20230411005139I","11-APR-23","TOOELE","UT","BOLINDER FIELD-TOOELE VALLEY","","","","","","","","","","","","0","0","","","","","","2003","545","9",""
"20230411005909A","11-APR-23","CHARLES TOWN","WV","","","","","","","","","","","","","0","3","","","","","","480","200","",""
"20230411011059A","11-APR-23","TERRELL","TX","TERRELL MUNI","","","","","","","","","","","","0","2","","","","","","26","17","10",""
"20230412003499I","12-APR-23","KALAMAZOO","MI","KALAMAZOO/BATTLE CREEK INTL","","","","","","","","","","","","0","0","","","","","","1048","500","9",""
"20230412004019I","12-APR-23","MEMPHIS","TN","GENERAL DEWITT SPAIN","","","","","","","","","","","","0","0","","","","","","","","",""
"20230412012609I","12-APR-23","FERGUS FALLS","MN","FERGUS FALLS MUNI-EINAR MICKELSON FLD","","","","","","","","","","","","0","0","","","","","","5600","4300","3",""
"20230412020529I","12-APR-23","MORRISTOWN","NJ","MORRISTOWN MUNI","","","","","","","","","","","","0","0","","","","","","651","593","169",""
"20230413002729A","13-APR-23","WEST MIFFLIN","PA","ALLEGHENY COUNTY","","","","","","","STEEL CITY AVIATION","","PILOT SCHOOLS","","","0","0","","","","","","250","70","20",""
"20230413003249A","13-APR-23","","AR","","","","","","","","","","","","","1","0","","","","","","","","",""
"20230413004509A","13-APR-23","KINGSFORD","MI","FORD","","","","","","","","","","","","0","0","","","","","","356","","",""
"20230413004839I","13-APR-23","EVANSVILLE","IN","EVANSVILLE RGNL","","","","","","","","","","","","0","0","","","","","","","19","2",""
"20230413005559I","13-APR-23","WILLIAMSBURG","KY","WILLIAMSBURG-WHITLEY COUNTY","","","","","","","","","","","","0","0","","","","","","419","101","60",""
"20230413005939I","13-APR-23","LIMON","CO","LIMON MUNI","","","","","","","","","","","","0","0","","","","","","1748","607","19",""
"20230413008409I","13-APR-23","KEY WEST","FL","KEY WEST INTL","","","","","","","","","","","","0","0","","","","","","880","","",""
"20230413010679A","13-APR-23","FALLSTON","MD","FALLSTON","","","","","","","","","","","","0","0","","","","","","576","103","1",""
"20230413020219I","13-APR-23","NORFOLK","VA","NORFOLK INTL","","","","","","","","","","","","0","0","","","","","","15870","","",""
"20230414002879I","14-APR-23","BLOOMINGTON","IN","MONROE COUNTY","","","","","","","","","","","","0","0","","","","","","4248","","",""
"20230414004029A","14-APR-23","GARRISON","MO","GASTONS","","","","","","","","","","","","0","0","","","","","","243","7","29",""
"20230414005549A","14-APR-23","NORTH LAS VEGAS","NV","NORTH LAS VEGAS","","","","","","","","","","","","0","0","","","","","","290","150","40",""
"20230414014609A","14-APR-23","CRESTVIEW","FL","DESTIN-FORT WALTON BEACH","","","","","","","","","","","","0","1","","","","","","517","","",""
"20230415003539I","15-APR-23","LEESBURG","FL","LEESBURG INTL","","","","","","","","","","","","0","0","","","","","","1400","30","20",""
"20230415003579A","15-APR-23","GILFORD","NH","LACONIA MUNI","","","","","","","","","","","","0","0","","","","","","250","22","22",""
"20230415004031A","15-APR-23","ZEBULON","NC","CROOKED CREEK","","","","","","","","","","","","0","1","","","","","","25","10","4",""
"20230415004499A","15-APR-23","ANDREWS","NC","WESTERN CAROLINA RGNL","","","","","","","","","","","","1","0","","","","","","","","",""
"20230415004929I","15-APR-23","CROSS CITY","FL","CROSS CITY","","","","","","","","","","","","0","0","","","","","","24400","940","53",""
"20230415005229I","15-APR-23","ADDISON","TX","ADDISON","","","","","","","","","","","","0","0","","","","","","1100","446","15",""
"20230415008419I","15-APR-23","NAPLES","FL","NAPLES MUNI","","","","","","","","","","","","0","0","","","","","","95","93","30",""
"20230416002529I","16-APR-23","ARDMORE","TN","","","","","","","","VIKING AVIATION","","","","","0","0","","","","","","","","",""
"20230416004049A","16-APR-23","RIVERSIDE","CA","RIVERSIDE MUNI","","","","","","","","","","","","0","0","","","","","","250","","",""
"20230416004369I","16-APR-23","BUCKLIN","KS","BUCKLIN","","","","","","","","","","","","0","0","","","","","","945","","",""
"20230416008429I","16-APR-23","PEMBROKE PINES","FL","NORTH PERRY","","","","","","","","","","","","0","0","","","","","","","","",""
"20230416009709A","16-APR-23","UPLAND","CA","CABLE","","","","","","","","","","","","0","0","","","","","","1500","600","",""
"20230416016419I","16-APR-23","TYRONE","OK","","","","","","","","","","","","","0","0","","","","","","7010","","",""
"20230417003069A","17-APR-23","PARKER","CO","","","","","","","","","","","","","0","0","","","","","","20","2","2",""
"20230417003099I","17-APR-23","ROSWELL","NM","ROSWELL INTL AIR CENTER","","","","","","","","","","","","0","0","","","","","","12300","800","100",""
"20230417003199I","17-APR-23","MERTZON","TX","","","","","","","","","","","","","0","0","","","","","","14000","","",""
"20230417003659A","17-APR-23","FREDERICKSBURG","TX","GILLESPIE COUNTY","","","","","","","","","","","","0","0","","","","","","186","82","17",""
"20230417004389I","17-APR-23","LEXINGTON","KY","BLUE GRASS","","","","","","","","","","","","0","0","","","","","","1410","37","18",""
"20230417005529I","17-APR-23","GULF SHORES","AL","JACK EDWARDS","","","","","","","","","","","","0","0","","","","","","1830","","",""
"20230417020029I","17-APR-23","SANTA ROSA","CA","CHARLES M. SCHULZ - SONOMA COUNTY","","","","","","","","","","","","0","0","","","","","","22000","","",""
"20230418004059A","18-APR-23","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","","","","0","0","","","","","","11200","220","142",""
"20230418004399I","18-APR-23","OWENSBORO","KY","OWENSBORO-DAVIESS COUNTY","","","","","","","","","","","","0","0","","","","","","7620","","",""
"20230418004609I","18-APR-23","JACKSONVILLE","FL","JACKSONVILLE EXECUTIVE AT CRAIG","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","59","59","15",""
"20230418004729A","18-APR-23","GLENDALE","AZ","GLENDALE MUNI","","","","","","","","","","","","0","0","","","","","","29","29","29",""
"20230418008499A","18-APR-23","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230418008769I","18-APR-23","ANNADA","MO","","","","","","","","","","","","","0","0","","","","","","86","","",""
"20230418009829A","18-APR-23","LONDON","OH","MADISON COUNTY","","","","","","","","","","","","2","0","","","","","","6300","","",""
"20230418011419A","18-APR-23","UPLAND","CA","CABLE","","","","","","","","","","","","0","0","","","","","","401","37","37",""
"20230419003409I","19-APR-23","BANGOR","ME","BANGOR INTL","","","","","","","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","3600","","",""
"20230419003609I","19-APR-23","NORMAN","OK","","","","","","","","","","","","","0","0","","","","","","12902","","",""
"20230419004939I","19-APR-23","WESLEY CHAPEL","FL","","","","","","","","","","","","","0","0","","","","","","14636","","",""
"20230419005539A","19-APR-23","VALLE","AZ","VALLE","","","","","","","","","","","","0","2","","","","","","266","2","50",""
"20230419006969A","19-APR-23","BRIDGEPORT","TX","BRIDGEPORT MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230419020989I","19-APR-23","NORMAN","OK","UNIVERSITY OF OKLAHOMA WESTHEIMER","","","","","","","","","","","","0","0","","","","","","4000","384","56",""
"20230420002789I","20-APR-23","CORPUS CHRISTI","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","","","","","","","CHAMPLAIN ENTERPRISES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","4848","","",""
"20230420004599I","20-APR-23","TITUSVILLE","FL","SPACE COAST RGNL","","","","","","","","","","","","0","0","","","","","","18250","","",""
"20230420005209I","20-APR-23","ELKO","NV","ELKO RGNL","","","","","","","","","","","","0","0","","","","","","5000","","",""
"20230420006949I","20-APR-23","FORD CITY","PA","MC VILLE","","","","","","","","","","","","0","0","","","","","","1035","31","55",""
"20230420007919A","20-APR-23","FLINT","MI","BISHOP INTL","","","","","","","","","","","","0","0","","","","","","653","133","45",""
"20230421004689I","21-APR-23","LOS ANGELES","CA","WHITEMAN","","","","","","","","","","","","0","0","","","","","","","720","",""
"20230421007059I","21-APR-23","OSCEOLA","MO","","","","","","","","","","","","","0","0","","","","","","761","1","7",""
"20230421007099I","21-APR-23","HOLLISTER","CA","HOLLISTER MUNI","","","","","","","","","","","","0","0","","","","","","922","36","5",""
"20230421022519I","21-APR-23","HOUSTON","TX","ELLINGTON","","","","","","","","","","","","0","0","","","","","","","","",""
"20230422003489I","22-APR-23","TYRONE","OK","","","","","","","","","","","","","0","0","","","","","","7500","","",""
"20230422004409A","22-APR-23","SPRINGFIELD","TN","","","","","","","","","","","","","0","0","","","","","","3128","","",""
"20230422004969A","22-APR-23","SOLDOTNA","AK","","","","","","","","","","","","","0","0","","","","","","267","42","15",""
"20230422005479A","22-APR-23","BUFFALO","IA","","","","","","","","","","","","","0","0","","","","","","68","5","6",""
"20230422007699A","22-APR-23","MESA","AZ","FALCON FLD","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","442","323","112",""
"20230423003589I","23-APR-23","BELEN","NM","ALEXANDER MUNI","","","","","","","","","","","","0","1","","","","","","4200","","",""
"20230423003599I","23-APR-23","OKLAHOMA CITY","OK","WILEY POST","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","41","41","36",""
